long;lat;id;linea;estacion;numero_de_;destino_bo;lineas_de_;cierra_fin;escalera_p;escalera_m;ascensor;rampa;salvaescal;calle;altura;calle2;barrio;comuna;observacio;Objeto;dom_norma;dom_orig
-5.837.066.851;-3.460.870.352;25;A;PLAZA DE MAYO;3;a San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Hipólito Yrigoyen;299;;Monserrat;Comuna 1;Andén Central;Boca de subte;YRIGOYEN. HIPOLITO AV. 299;Hipólito Yrigoyen 299
-5.836.999.704;-3.460.894.124;26;A;PLAZA DE MAYO;2;a San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Hipólito Yrigoyen;250;;Monserrat;Comuna 1;Andén Central;Boca de subte;YRIGOYEN. HIPOLITO AV. 250;Hipólito Yrigoyen 250
-5.837.181.614;-3.460.878.691;27;A;PLAZA DE MAYO;1;a San Pedrito;;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Hipólito Yrigoyen;399;;Monserrat;Comuna 1;Andén Central;Boca de subte;YRIGOYEN. HIPOLITO AV. 399;Hipólito Yrigoyen 399
-5.837.399.155;-3.460.843.325;28;A;PERU;5;a Pza. de Mayo;E-D;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Avenida de Mayo;567;;Monserrat;Comuna 1;Sólo andén a Pza. de Mayo;Boca de subte;DE MAYO AV. 567;Avenida de Mayo 567
-5.837.436.835;-346.084.685;29;A;PERU;3;Salida Únicamente;E-D;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Avenida de Mayo;597;;Monserrat;Comuna 1;Salida Únicamente;Boca de subte;DE MAYO AV. 597;Avenida de Mayo 597
-5.837.386.051;-3.460.863.775;30;A;PERU;6;a San Pedrito;E-D;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Avenida de Mayo;556;;Monserrat;Comuna 1;Sólo andén a San Pedrito;Boca de subte;DE MAYO AV. 556;Avenida de Mayo 556
-5.837.435.645;-3.460.868.053;31;A;PERU;4;a Pza. de Mayo;E-D;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Avenida de Mayo;600;;Monserrat;Comuna 1;Sólo andén a San Pedrito;Boca de subte;DE MAYO AV. 600;Avenida de Mayo 600
-5.837.868.096;-3.460.897.096;32;A;PIEDRAS;2;a San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Avenida de Mayo;866;;Monserrat;Comuna 1;Solo anden a San Pedrito;Boca de subte;DE MAYO AV. 866;Avenida de Mayo 866
-5.837.871.932;-3.460.876.534;33;A;PIEDRAS;1;a Plaza de Mayo;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Avenida de Mayo;869;;Monserrat;Comuna 1;Solo anden a Plaza de Mayo;Boca de subte;DE MAYO AV. 869;Avenida de Mayo 869
-5.837.830.818;-3.460.894.849;34;A;PIEDRAS;4;a San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Avenida de Mayo;840;;Monserrat;Comuna 1;Solo anden a San Pedrito;Boca de subte;DE MAYO AV. 840;Avenida de Mayo 840
-5.837.831.881;-3.460.873.586;35;A;PIEDRAS;3;Salida unicamente;;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Avenida de Mayo;839;;Monserrat;Comuna 1;Salida unicamente;Boca de subte;DE MAYO AV. 839;Avenida de Mayo 839
-583.824.171;-3.460.923.476;36;A;LIMA;4;a San Pedrito;C;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Avenida de Mayo;1130;;Monserrat;Comuna 1;Solo anden a San Pedrito;Boca de subte;DE MAYO AV. 1130;Avenida de Mayo 1130
-5.838.243.498;-3.460.901.553;37;A;LIMA;3;Salida unicamente;C;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Avenida de Mayo;1129;;Monserrat;Comuna 1;Salida unicamente;Boca de subte;DE MAYO AV. 1129;Avenida de Mayo 1129
-5.838.274.887;-3.460.904.072;38;A;LIMA;1;a Plaza de Mayo;C;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Avenida de Mayo;1157;;Monserrat;Comuna 1;Solo anden a Plaza de Mayo;Boca de subte;DE MAYO AV. 1157;Avenida de Mayo 1157
-5.838.279.486;-3.460.925.523;39;A;LIMA;2;a San Pedrito;C;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Avenida de Mayo;1156;;Monserrat;Comuna 1;Solo anden a San Pedrito;Boca de subte;DE MAYO AV. 1156;Avenida de Mayo 1156
-583.865.662;-3.460.950.859;40;A;SAENZ PEÑA;4;a San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Avenida de Mayo;1430;;Monserrat;Comuna 1;Solo anden a San Pedrito;Boca de subte;DE MAYO AV. 1430;Avenida de Mayo 1430
-5.838.658.054;-3.460.930.847;41;A;SAENZ PEÑA;3;Salida unicamente;;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Avenida de Mayo;1431;;Monserrat;Comuna 1;Salida unicamente;Boca de subte;DE MAYO AV. 1431;Avenida de Mayo 1431
-5.838.701.946;-3.460.954.561;42;A;SAENZ PEÑA;2;Salida unicamente;;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Avenida de Mayo;1480;;Monserrat;Comuna 1;Salida unicamente;Boca de subte;DE MAYO AV. 1480;Avenida de Mayo 1480
-5.838.703.773;-3.460.932.832;43;A;SAENZ PEÑA;1;a Plaza de Mayo;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Avenida de Mayo;1487;;Monserrat;Comuna 1;Solo anden a Plaza de Mayo;Boca de subte;DE MAYO AV. 1487;Avenida de Mayo 1487
-5.840.103.914;-3.460.994.112;44;A;ALBERTI;2;a San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;2450;;Balvanera;Comuna 3;Solo anden a San Pedrito;Boca de subte;RIVADAVIA AV. 2450;Rivadavia 2450
-5.840.072.814;-3.460.991.241;45;A;ALBERTI;4;a San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;2408;;Balvanera;Comuna 3;Solo anden a San Pedrito;Boca de subte;RIVADAVIA AV. 2408;Rivadavia 2408
-5.840.661.972;-3.461.027.466;46;A;PLAZA MISERERE;1;a Plaza de Mayo y San Pedrito;H;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;2836;;Balvanera;Comuna 3;Vestibulo intermedio;Boca de subte;RIVADAVIA AV. 2836;Rivadavia 2836
-5.840.700.282;-3.461.028.975;47;A;PLAZA MISERERE;2;a Plaza de Mayo y San Pedrito;H;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;2860;;Balvanera;Comuna 3;Vestibulo intermedio;Boca de subte;RIVADAVIA AV. 2860;Rivadavia 2860
-5.840.658.078;-3.461.002.783;48;A;PLAZA MISERERE;3;a Plaza de Mayo y San Pedrito;H;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;2829;;Balvanera;Comuna 3;Vestibulo intermedio;Boca de subte;RIVADAVIA AV. 2829;Rivadavia 2829
-5.840.687.674;-3.461.004.208;49;A;PLAZA MISERERE;4;a Plaza de Mayo y San Pedrito;H;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;2837;;Balvanera;Comuna 3;Vestibulo intermedio;Boca de subte;RIVADAVIA AV. 2837;Rivadavia 2837
-5.840.622.562;-3.460.935.675;50;A;PLAZA MISERERE;5;a Plaza de Mayo y San Pedrito;H;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;B.Mitre;2802;;Balvanera;Comuna 3;Vestibulo intermedio;Boca de subte;MITRE. BARTOLOME 2802;B.Mitre 2802
-584.061.804;-3.460.906.663;51;A;PLAZA MISERERE;10;a Plaza de Mayo y San Pedrito;H;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;B.Mitre;2820;;Balvanera;Comuna 3;Vestibulo intermedio;Boca de subte;MITRE. BARTOLOME 2820;B.Mitre 2820
-5.840.583.732;-3.460.853.862;52;A;PLAZA MISERERE;7;a Plaza de Mayo y San Pedrito;H;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Pueyrredón;123;;Balvanera;Comuna 3;Vestibulo intermedio;Boca de subte;PUEYRREDON AV. 123;Pueyrredón 123
-5.840.628.205;-3.460.844.806;53;A;PLAZA MISERERE;8;a Plaza de Mayo y San Pedrito;H;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Pueyrredón;136;;Balvanera;Comuna 3;Vestibulo intermedio;Boca de subte;PUEYRREDON AV. 136;Pueyrredón 136
-5.841.509.398;-3.461.069.016;55;A;LORIA;3;a Plaza de Mayo;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;3431;;Almagro;Comuna 5;Solo anden a Plaza de Mayo;Boca de subte;RIVADAVIA AV. 3431;Rivadavia 3431
-584.149.002;-3.461.086.021;56;A;LORIA;4;a San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;3434;;Almagro;Comuna 5;Solo anden a San Pedrito;Boca de subte;RIVADAVIA AV. 3434;Rivadavia 3434
-5.841.533.852;-3.461.069.864;57;A;LORIA;1;a Plaza de Mayo;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;3463;;Almagro;Comuna 5;Solo anden a Plaza de Mayo;Boca de subte;RIVADAVIA AV. 3463;Rivadavia 3463
-5.841.531.999;-3.461.089.142;58;A;LORIA;2;Salida unicamente;;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Rivadavia;3466;;Almagro;Comuna 5;Salida unicamente;Boca de subte;RIVADAVIA AV. 3466;Rivadavia 3466
-5.842.149.653;-3.461.179.238;59;A;CASTRO BARROS;4;Salida unicamente;;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Rivadavia;3928;;Almagro;Comuna 5;Salida unicamente;Boca de subte;RIVADAVIA AV. 3928;Rivadavia 3928
-5.842.157.603;-3.461.160.837;60;A;CASTRO BARROS;3;a Plaza de Mayo;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;3929;;Almagro;Comuna 5;Solo anden a Plaza de Mayo;Boca de subte;RIVADAVIA AV. 3929;Rivadavia 3929
-5.842.189.215;-3.461.174.565;61;A;CASTRO BARROS;1;a Plaza de Mayo;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;3959;;Almagro;Comuna 5;Solo anden a Plaza de Mayo;Boca de subte;RIVADAVIA AV. 3959;Rivadavia 3959
-584.218.274;-3.461.193.146;62;A;CASTRO BARROS;2;a San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;3960;;Almagro;Comuna 5;Solo anden a San Pedrito;Boca de subte;RIVADAVIA AV. 3960;Rivadavia 3960
-5.842.955.798;-3.461.513.574;63;A;RIO DE JANEIRO;1;a Plaza de Mayo;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;4541;;Almagro;Comuna 5;Solo anden a Plaza de Mayo;Boca de subte;RIVADAVIA AV. 4541;Rivadavia 4541
-5.842.920.996;-3.461.498.139;64;A;RIO DE JANEIRO;3;a Plaza de Mayo;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;4503;;Almagro;Comuna 5;Solo anden a Plaza de Mayo;Boca de subte;RIVADAVIA AV. 4503;Rivadavia 4503
-5.842.946.866;-3.461.532.791;65;A;RIO DE JANEIRO;2;a San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;4502;;Caballito;Comuna 6;Solo anden a San Pedrito;Boca de subte;RIVADAVIA AV. 4502;Rivadavia 4502
-5.843.588.634;-3.461.792.717;66;A;ACOYTE;3;a Plaza de Mayo;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;4965;;Caballito;Comuna 6;Solo anden a Plaza de Mayo;Boca de subte;RIVADAVIA AV. 4965;Rivadavia 4965
-5.843.576.555;-3.461.810.461;67;A;ACOYTE;4;a San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;4976;;Caballito;Comuna 6;Solo anden a San Pedrito;Boca de subte;RIVADAVIA AV. 4976;Rivadavia 4976
