long,lat,id,linea,estacion,numero_de_,destino_bo,lineas_de_,cierra_fin,escalera_p,escalera_m,ascensor,rampa,salvaescal,calle,altura,calle2,barrio,comuna,observacio,Objeto,dom_norma,dom_orig
-58.39236802,-34.60910505,23,A,CONGRESO - PDTE. DR. RAÚL ALFONSÍN,3,Salida unicamente,,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,Rivadavia,1815,,,,Salida unicamente,Boca de subte,,Rivadavia 1815
-58.4028219,-34.59522342,24,D,PUEYRREDON,3,a Catedral y Congreso de Tucumán,H,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Puerredón,1340,,,,Andén central,Boca de subte,,Puerredón 1340
-58.37066851,-34.60870352,25,A,PLAZA DE MAYO,3,a San Pedrito,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Hipólito Yrigoyen,299,,Monserrat,Comuna 1,Andén Central,Boca de subte,YRIGOYEN. HIPOLITO AV. 299,Hipólito Yrigoyen 299
-58.36999704,-34.60894124,26,A,PLAZA DE MAYO,2,a San Pedrito,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Hipólito Yrigoyen,250,,Monserrat,Comuna 1,Andén Central,Boca de subte,YRIGOYEN. HIPOLITO AV. 250,Hipólito Yrigoyen 250
-58.37181614,-34.60878691,27,A,PLAZA DE MAYO,1,a San Pedrito,,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Hipólito Yrigoyen,399,,Monserrat,Comuna 1,Andén Central,Boca de subte,YRIGOYEN. HIPOLITO AV. 399,Hipólito Yrigoyen 399
-58.37399155,-34.60843325,28,A,PERU,5,a Pza. de Mayo,E-D,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Avenida de Mayo,567,,Monserrat,Comuna 1,Sólo andén a Pza. de Mayo,Boca de subte,DE MAYO AV. 567,Avenida de Mayo 567
-58.37436835,-34.6084685,29,A,PERU,3,Salida Únicamente,E-D,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,Avenida de Mayo,597,,Monserrat,Comuna 1,Salida Únicamente,Boca de subte,DE MAYO AV. 597,Avenida de Mayo 597
-58.37386051,-34.60863775,30,A,PERU,6,a San Pedrito,E-D,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,Avenida de Mayo,556,,Monserrat,Comuna 1,Sólo andén a San Pedrito,Boca de subte,DE MAYO AV. 556,Avenida de Mayo 556
-58.37435645,-34.60868053,31,A,PERU,4,a Pza. de Mayo,E-D,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Avenida de Mayo,600,,Monserrat,Comuna 1,Sólo andén a San Pedrito,Boca de subte,DE MAYO AV. 600,Avenida de Mayo 600
-58.37868096,-34.60897096,32,A,PIEDRAS,2,a San Pedrito,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Avenida de Mayo,866,,Monserrat,Comuna 1,Solo anden a San Pedrito,Boca de subte,DE MAYO AV. 866,Avenida de Mayo 866
-58.37871932,-34.60876534,33,A,PIEDRAS,1,a Plaza de Mayo,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Avenida de Mayo,869,,Monserrat,Comuna 1,Solo anden a Plaza de Mayo,Boca de subte,DE MAYO AV. 869,Avenida de Mayo 869
-58.37830818,-34.60894849,34,A,PIEDRAS,4,a San Pedrito,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Avenida de Mayo,840,,Monserrat,Comuna 1,Solo anden a San Pedrito,Boca de subte,DE MAYO AV. 840,Avenida de Mayo 840
-58.37831881,-34.60873586,35,A,PIEDRAS,3,Salida unicamente,,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,Avenida de Mayo,839,,Monserrat,Comuna 1,Salida unicamente,Boca de subte,DE MAYO AV. 839,Avenida de Mayo 839
-58.3824171,-34.60923476,36,A,LIMA,4,a San Pedrito,C,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Avenida de Mayo,1130,,Monserrat,Comuna 1,Solo anden a San Pedrito,Boca de subte,DE MAYO AV. 1130,Avenida de Mayo 1130
-58.38243498,-34.60901553,37,A,LIMA,3,Salida unicamente,C,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,Avenida de Mayo,1129,,Monserrat,Comuna 1,Salida unicamente,Boca de subte,DE MAYO AV. 1129,Avenida de Mayo 1129
-58.38274887,-34.60904072,38,A,LIMA,1,a Plaza de Mayo,C,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Avenida de Mayo,1157,,Monserrat,Comuna 1,Solo anden a Plaza de Mayo,Boca de subte,DE MAYO AV. 1157,Avenida de Mayo 1157
-58.38279486,-34.60925523,39,A,LIMA,2,a San Pedrito,C,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Avenida de Mayo,1156,,Monserrat,Comuna 1,Solo anden a San Pedrito,Boca de subte,DE MAYO AV. 1156,Avenida de Mayo 1156
-58.3865662,-34.60950859,40,A,SAENZ PEÑA,4,a San Pedrito,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Avenida de Mayo,1430,,Monserrat,Comuna 1,Solo anden a San Pedrito,Boca de subte,DE MAYO AV. 1430,Avenida de Mayo 1430
-58.38658054,-34.60930847,41,A,SAENZ PEÑA,3,Salida unicamente,,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,Avenida de Mayo,1431,,Monserrat,Comuna 1,Salida unicamente,Boca de subte,DE MAYO AV. 1431,Avenida de Mayo 1431
-58.38701946,-34.60954561,42,A,SAENZ PEÑA,2,Salida unicamente,,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,Avenida de Mayo,1480,,Monserrat,Comuna 1,Salida unicamente,Boca de subte,DE MAYO AV. 1480,Avenida de Mayo 1480
-58.38703773,-34.60932832,43,A,SAENZ PEÑA,1,a Plaza de Mayo,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Avenida de Mayo,1487,,Monserrat,Comuna 1,Solo anden a Plaza de Mayo,Boca de subte,DE MAYO AV. 1487,Avenida de Mayo 1487
-58.40103914,-34.60994112,44,A,ALBERTI,2,a San Pedrito,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Rivadavia,2450,,Balvanera,Comuna 3,Solo anden a San Pedrito,Boca de subte,RIVADAVIA AV. 2450,Rivadavia 2450
-58.40072814,-34.60991241,45,A,ALBERTI,4,a San Pedrito,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Rivadavia,2408,,Balvanera,Comuna 3,Solo anden a San Pedrito,Boca de subte,RIVADAVIA AV. 2408,Rivadavia 2408
-58.40661972,-34.61027466,46,A,PLAZA MISERERE,1,a Plaza de Mayo y San Pedrito,H,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Rivadavia,2836,,Balvanera,Comuna 3,Vestibulo intermedio,Boca de subte,RIVADAVIA AV. 2836,Rivadavia 2836
